
Episode Report #1 -------
EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	  ROUND	 g-fps	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	
  38761		     91 	  410.0	   140.000	  15.7	   17.9	   45.6	     91	  78.6	  38761	  0.305	   41.6	    0.4	   8440 	 2.73e-002 	 9.71e-005 	 1.471 	 69.2% 	 12.6 	 7.7 	 1.7 	 253.9 	
  39025		     92 	  264.0	    75.000	  15.8	   17.2	   45.6	     92	  78.5	  39025	  0.311	   41.4	    0.4	   8506 	 2.73e-002 	 8.52e-005 	 1.800 	 70.9% 	 12.0 	 7.8 	 1.6 	 252.2 	
  39306		     93 	  281.0	     5.000	  15.5	   17.9	   46.0	     93	  77.6	  39306	  0.302	   41.7	    0.4	   8576 	 2.73e-002 	 7.02e-005 	 1.778 	 69.8% 	 12.6 	 7.5 	 1.5 	 253.8 	
  39670		     94 	  364.0	   155.000	  15.7	   15.6	   48.0	     94	  78.4	  39670	  0.288	   43.5	    0.4	   8667 	 2.74e-002 	 9.68e-005 	 1.677 	 69.1% 	 12.6 	 7.6 	 1.4 	 253.9 	
  40010		     95 	  340.0	   120.000	  15.8	   17.4	   45.5	     95	  79.2	  40010	  0.288	   42.1	    0.4	   8752 	 2.74e-002 	 8.96e-005 	 1.775 	 69.9% 	 12.4 	 7.7 	 1.6 	 250.0 	
  40244		     96 	  234.0	    30.000	  16.2	   17.9	   43.7	     96	  81.0	  40244	  0.282	   40.3	    0.5	   8810 	 2.74e-002 	 8.77e-005 	 1.674 	 69.2% 	 12.4 	 7.6 	 1.7 	 246.9 	
  40654		     97 	  410.0	   120.000	  15.9	   14.1	   48.9	     97	  79.3	  40654	  0.334	   43.4	    0.4	   8913 	 2.75e-002 	 7.35e-005 	 1.614 	 68.6% 	 12.4 	 7.5 	 1.5 	 251.0 	
  41144		     98 	  490.0	   370.000	  15.9	   17.1	   45.5	     98	  79.7	  41144	  0.363	   41.3	    0.4	   9035 	 2.75e-002 	 8.51e-005 	 1.622 	 70.8% 	 12.2 	 7.5 	 1.7 	 250.4 	
  41387		     99 	  243.0	    55.000	  15.6	   18.2	   46.2	     99	  77.6	  41387	  0.362	   42.3	    0.4	   9096 	 2.76e-002 	 7.31e-005 	 1.381 	 71.3% 	 12.1 	 7.9 	 2.0 	 255.8 	
  41779		    100 	  392.0	   110.000	  16.0	   17.9	   44.3	    100	  80.3	  41779	  0.329	   39.9	    0.5	   9194 	 2.76e-002 	 8.26e-005 	 1.571 	 69.1% 	 12.6 	 7.5 	 1.5 	 247.1 	
  42083		    101 	  304.0	   120.000	  15.6	   15.6	   48.5	    101	  77.9	  42083	  0.336	   43.3	    0.4	   9270 	 2.76e-002 	 1.06e-004 	 1.689 	 68.5% 	 12.4 	 7.6 	 1.6 	 255.1 	
  42432		    102 	  349.0	   155.000	  16.1	   17.0	   45.5	    102	  80.0	  42432	  0.330	   39.9	    0.5	   9357 	 2.77e-002 	 8.21e-005 	 1.697 	 69.0% 	 12.3 	 7.7 	 1.6 	 249.2 	
  42801		    103 	  369.0	   140.000	  15.9	   16.6	   46.2	    103	  79.6	  42801	  0.344	   42.0	    0.5	   9450 	 2.77e-002 	 8.57e-005 	 1.844 	 68.5% 	 12.2 	 7.8 	 1.5 	 250.6 	
  43569		    104 	  768.0	   410.000	  15.5	   18.5	   45.6	    104	  77.7	  43569	  0.346	   41.7	    0.5	   9642 	 2.78e-002 	 6.87e-005 	 1.607 	 68.5% 	 12.6 	 7.5 	 1.5 	 256.4 	
